event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
127960,1043567,btc-updown-5m-1766972400,BTC,5m,"Bitcoin Up or Down - December 28, 8:40PM-8:45PM ET",1766972400,1766972700,37757111305943369313607477612117675991483283811157654819548775996705837140529,88555506998104325266323436919439318690534514836833575970405206307061892443068,https://data.chain.link/streams/btc-usd,0.0,true,false
127967,1043573,btc-updown-15m-1766972700,BTC,5m,"Bitcoin Up or Down - December 28, 8:45PM-9:00PM ET",1766972700,1766973600,97572449624297528228125787516420755443616724786724410407458602113641283210922,51447966303140662386595302497176384643064715276005782969491138499076372714983,https://data.chain.link/streams/btc-usd,0.0,true,false
127966,1043572,sol-updown-15m-1766972700,SOL,5m,"Solana Up or Down - December 28, 8:45PM-9:00PM ET",1766972700,1766973600,91708703740490433705347353462478301128278996355627364332816487359688551047620,80329841878162417037135741645669156668812093377218235153154202192078175476971,https://data.chain.link/streams/sol-usd,0.0,true,false
127969,1043580,btc-updown-5m-1766972700,BTC,5m,"Bitcoin Up or Down - December 28, 8:45PM-8:50PM ET",1766972700,1766973000,6681086892393867474903984437692594127032517367371223593391297152373904303158,67135326867314224336844382488130581194414541168539204078513540471537725334559,https://data.chain.link/streams/btc-usd,0.0,true,false
127849,1042806,sol-updown-5m-1766966400,SOL,5m,"Solana Up or Down - December 28, 7:00PM-7:05PM ET",1766966400,1766966700,51172312297273871700547894942741209194383470704675219525705379977779839704817,33202446832894564881888999985125926535952404192622832004049453014323076305863,https://data.chain.link/streams/sol-usd,0.0,true,false
126714,1037005,btc-updown-5m-1766919300,BTC,5m,"Bitcoin Up or Down - December 28, 5:55AM-6:00AM ET",1766919300,1766919600,22691826532767830246550417271160849552760291585750981656240082947301426515352,94381034936602319477450769037780414126492113800506466962202324687866700136865,https://data.chain.link/streams/btc-usd,0.0,true,false
126896,1038090,eth-updown-5m-1766928600,ETH,5m,"Ethereum Up or Down - December 28, 8:30AM-8:35AM ET",1766928600,1766928900,26527678026283756237543645382017419362987612807155290905712183292512015523873,77793201457564453743317409028420353697772525379865396140483174047818285533933,https://data.chain.link/streams/eth-usd,0.0,true,false
127178,1039215,btc-updown-5m-1766938500,BTC,5m,"Bitcoin Up or Down - December 28, 11:15AM-11:20AM ET",1766938500,1766938800,29515301818240976202343348515364938897371657769196743391293881284005323616332,63291968939492226984996783893268663222274266648098778008601224996303019915209,https://data.chain.link/streams/btc-usd,0.0,true,false
127280,1039529,sol-updown-5m-1766941200,SOL,5m,"Solana Up or Down - December 28, 12:00PM-12:05PM ET",1766941200,1766941500,20452797550931168082640195699691863705675278819727626008511006079490860751494,105391586009223109784713689550212510587307865379642048568845431254773484167362,https://data.chain.link/streams/sol-usd,0.0,true,false
126355,1034936,sol-updown-5m-1766901600,SOL,5m,"Solana Up or Down - December 28, 1:00AM-1:05AM ET",1766901600,1766901900,111019166551654718803084013430986782056887836911569683081920982869546263799462,90282609302017495431728001221133940765133705152703679636515514757220712474698,https://data.chain.link/streams/sol-usd,0.0,true,false
